"Marca temporal","¿Cuál inteligencia artificial es la que más usa en su día a día?","¿Se ha vuelto dependiente de alguna IA?","¿Cómo afecta la IA en su proceso formativo(ADSO)?","¿Se considera usted menos inteligente después del uso constante de una IA?","¿Cuál sector laboral cree usted que fue consumido en su totalidad por las IA?","¿En que área considera usted que la IA puede aumentar nuestra capacidad de adquirir conocimiento?"
"2025/03/14 1:23:53 p.m. GMT-5","Chat GPT","Tal vez","No se","No","Desarrollo de software / programación","Desarrollo de software / programación"
"2025/03/14 1:24:27 p.m. GMT-5","Sonnet claude","Tal vez","Ofrecienso conocimiento ilimitado Al qué puedo acceder cuando quiera.","Tal vez","Traductores","Idiomas"
"2025/03/14 1:28:30 p.m. GMT-5","Meta IA","No","mucha copia","No","Marketing / ventas / diseños","Desarrollo de software / programación"
"2025/03/14 1:30:14 p.m. GMT-5","Chat GPT","No","No se tu dime","No","Atención al cliente","Desarrollo de software / programación"
"2025/03/14 1:31:22 p.m. GMT-5","Chat GPT","No","Bastante ","No","Desarrollo de software / programación","Desarrollo de software / programación"
"2025/03/14 1:33:00 p.m. GMT-5","Deepseek","Tal vez","","No","Marketing / ventas / diseños","Desarrollo de software / programación"
"2025/03/14 1:33:37 p.m. GMT-5","Meta IA","Tal vez","Me hace casi todo ","Sí","Desarrollo de software / programación","Música"
"2025/03/14 1:36:04 p.m. GMT-5","Chat GPT","Tal vez","Mala para mi aprendizaje ","Tal vez","Traductores","Desarrollo de software / programación"
"2025/03/14 1:36:37 p.m. GMT-5","Chat GPT","No","Falta de conocimiento, no se aprende mucho","Sí","Marketing / ventas / diseños","Desarrollo de software / programación"
"2025/03/14 1:40:19 p.m. GMT-5","Chat GPT","Tal vez","Siento que afecta de forma positiva ya que debemos adaptarnos a este tipo de tecnología","No","Marketing / ventas / diseños","Desarrollo de software / programación"
"2025/03/14 1:41:09 p.m. GMT-5","Meta IA","No","Es muy mal utilizado y crea personas mediocres","No","Atención al cliente","Desarrollo de software / programación"
"2025/03/14 1:45:49 p.m. GMT-5","Meta IA","Tal vez","Me beneficia ","Tal vez","Desarrollo de software / programación","Idiomas"
"2025/03/14 1:46:19 p.m. GMT-5","Chat GPT","No","en el esfuerzo propio","No","Marketing / ventas / diseños","Idiomas"
"2025/03/14 1:54:00 p.m. GMT-5","Chat GPT","Tal vez","De manera positiva","No","Atención al cliente","Desarrollo de software / programación"
"2025/03/14 1:55:34 p.m. GMT-5","Meta IA","No","Firme","No","Atención al cliente","Música"
"2025/03/14 1:56:36 p.m. GMT-5","Chat GPT","Sí","Positivamente, VIVA CHATGPT, el mejor teacher del mundo.","No","Desarrollo de software / programación","Desarrollo de software / programación"
"2025/03/14 1:56:39 p.m. GMT-5","Meta IA","No","en nada","No","Desarrollo de software / programación","Idiomas"
"2025/03/17 12:34:43 p.m. GMT-5","Chat GPT","No","Me agiliza el darme respuestas a problemas que me formulen","No","Atención al cliente","Desarrollo de software / programación"
"2025/03/17 12:36:51 p.m. GMT-5","Chat GPT","No","En nada","No","Atención al cliente","Desarrollo de software / programación"